Sample_number,Reference,Volcanic Zone,Volcanic Zone specific,Volcanic System,Location,Site,Systems,time,Age yrs BP (Ref 1950),age error,Eruption type,Latitiude,Longitude,Type,SiO2,TiO2,Al2O3,Cr2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SrO,BaO,H2O,sum,Pressure_min,Probability
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.63,1.69,13.52,0,11.92,0,0.21,6.98,10.11,2.39,0.17,0.17,0,0,0,96.79,3.801742464,0.990146705
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,47.97,1.66,13.5,0,11.98,0,0.19,7.08,10.03,2.27,0.18,0.13,0,0,0,94.99,5.061700385,0.95773137
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.42,1.6,13.26,0,11.61,0,0.18,7.01,9.45,2.28,0.16,0.15,0,0,0,95.12,4.584432974,0.891367435
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.05,1.73,13.6,0,11.68,0,0.19,7.1,10.27,2.28,0.15,0.15,0,0,0,95.2,4.632584427,0.995073384
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.33,1.64,13.38,0,11.82,0,0.16,6.9,11.86,2.24,0.14,0.12,0,0,0,97.59,0.750052531,0.861344034
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.35,1.8,12.7,0,12.74,0,0.16,6.5,9.72,2.48,0.17,0.18,0,0,0,94.8,3.212197172,0.816156507
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.82,1.91,12.95,0,12.93,0,0.18,6.32,10.84,2.37,0.19,0.2,0,0,0,96.71,1.244863878,0.897835682
8,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.52,1.68,13.43,0,11.78,0,0.16,6.99,11.91,2.18,0.13,0.25,0,0,0,98.03,0.874229665,0.848855225
8,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.42,1.71,13.23,0,11.88,0,0.16,6.87,11.72,2.24,0.14,0.13,0,0,0,97.5,0.64684312,0.921392052
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.66,1.64,13.21,0,11.82,0,0.14,6.85,12.45,2.18,0.16,0.14,0,0,0,98.25,-0.706287966,0.822176549
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.92,1.64,12.89,0,11.93,0,0.21,6.95,12.44,2.23,0.14,0.17,0,0,0,98.52,-0.981394264,0.999555536
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.73,1.53,12.83,0,11.83,0,0.17,6.61,12.51,2.32,0.13,0.13,0,0,0,98.79,-2.374065241,0.873609526
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.32,1.57,12.96,0,11.74,0,0.2,6.82,12.5,2.2,0.15,0.16,0,0,0,97.62,-1.083829308,0.922645053
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.24,1.59,12.93,0,11.74,0,0.19,6.76,12.59,2.24,0.13,0.13,0,0,0,98.54,-1.847831113,0.877653221
12,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.33,1.67,12.63,0,11.58,0,0.15,6.6,12.17,2.25,0.13,0.14,0,0,0,96.65,-1.756205792,0.925527367
12,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.76,1.55,12.73,0,11.94,0,0.18,6.69,12.11,2.11,0.14,0.17,0,0,0,97.38,-1.151028304,0.930709384
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.42,1.57,13.84,0,11.98,0,0.18,7.05,11.89,2.28,0.19,0.17,0,0,0,99.57,1.29791537,0.832815271
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.56,1.59,13.3,0,11.87,0,0.17,6.92,11.88,2.19,0.18,0.2,0,0,0,98.86,0.117303629,0.924718317
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.21,1.6,13.4,0,11.69,0,0.18,7.08,11.88,2.25,0.18,0.23,0,0,0,98.7,0.64672742,0.984747891
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.41,1.65,13.43,0,11.79,0,0.23,6.98,12.29,2.28,0.17,0.16,0,0,0,99.39,-0.207257628,0.893907423
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.12,1.63,12.91,0,11.82,0,0.22,6.83,12.52,2.45,0.17,0.19,0,0,0,98.86,-1.586295342,0.998913291
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.45,1.56,12.96,0,12.21,0,0.16,6.85,12.63,2.26,0.21,0.17,0,0,0,99.46,-1.492730802,0.996545095
